epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,9.999995648422836e-06,9.999995648422836e-06,2349,,,,,
0,,,2349,,27.057815551757812,,,
,9.999994312235488e-06,9.999994312235488e-06,2399,,,,,
,9.999994312235488e-06,9.999994312235488e-06,2399,,,,,
,9.999994312235488e-06,9.999994312235488e-06,2399,,,,,
0,,,2399,,11.586980819702148,,,
,9.999992797413614e-06,9.999992797413614e-06,2449,,,,,
,9.999992797413614e-06,9.999992797413614e-06,2449,,,,,
,9.999992797413614e-06,9.999992797413614e-06,2449,,,,,
0,,,2449,,3.0204553604125977,,,
,9.999991103957263e-06,9.999991103957263e-06,2499,,,,,
,9.999991103957263e-06,9.999991103957263e-06,2499,,,,,
,9.999991103957263e-06,9.999991103957263e-06,2499,,,,,
0,,,2499,,23.629732131958008,,,
,9.9999892318665e-06,9.9999892318665e-06,2549,,,,,
,9.9999892318665e-06,9.9999892318665e-06,2549,,,,,
,9.9999892318665e-06,9.9999892318665e-06,2549,,,,,
0,,,2549,,19.781539916992188,,,
,9.999987181141391e-06,9.999987181141391e-06,2599,,,,,
,9.999987181141391e-06,9.999987181141391e-06,2599,,,,,
,9.999987181141391e-06,9.999987181141391e-06,2599,,,,,
0,,,2599,,39.563270568847656,,,
,9.999984951782007e-06,9.999984951782007e-06,2649,,,,,
,9.999984951782007e-06,9.999984951782007e-06,2649,,,,,
,9.999984951782007e-06,9.999984951782007e-06,2649,,,,,
0,,,2649,,35.22762680053711,,,
,9.999982543788432e-06,9.999982543788432e-06,2699,,,,,
,9.999982543788432e-06,9.999982543788432e-06,2699,,,,,
,9.999982543788432e-06,9.999982543788432e-06,2699,,,,,
0,,,2699,,20.576887130737305,,,
,9.999979957160746e-06,9.999979957160746e-06,2749,,,,,
,9.999979957160746e-06,9.999979957160746e-06,2749,,,,,
,9.999979957160746e-06,9.999979957160746e-06,2749,,,,,
0,,,2749,,23.298383712768555,,,
,9.999977191899046e-06,9.999977191899046e-06,2799,,,,,
,9.999977191899046e-06,9.999977191899046e-06,2799,,,,,
,9.999977191899046e-06,9.999977191899046e-06,2799,,,,,
0,,,2799,,16.74142837524414,,,
,9.99997424800343e-06,9.99997424800343e-06,2849,,,,,
,9.99997424800343e-06,9.99997424800343e-06,2849,,,,,
,9.99997424800343e-06,9.99997424800343e-06,2849,,,,,
0,,,2849,,19.201129913330078,,,
